Year,Q1,Q2,Q3,Q4,Q1milU,Q2milU,Q3milU,Q4milU,ModelMake,Region,,,,,,,,,,,,,,,,,,
2010,0.864312106,0.865301022,0.830688981,1.394370789,864312.1061,865301.0215,830688.9807,1394370.789,RIM,Canada,,,,,,,,,,,,,,,,,,
2011,1.868154897,2.145387244,2.339794989,1.963633257,1868154.897,2145387.244,2339794.989,1963633.257,RIM,Canada,,,,,,,,,,,,,,,,,,
2012,5.729550706,5.423273427,4.026463415,4.16258665,5729550.706,5423273.427,4026463.415,4162586.65,RIM,Canada,,,,,,,,,,,,,,,,,,
2013,7.84200968,6.14200507,5.126268726,5.546347085,7842009.68,6142005.07,5126268.726,5546347.085,RIM,Canada,,,,,,,,,,,,,,,,,,
2014,10.2332281,8.767327701,7.058781681,7.874953313,10233228.1,8767327.701,7058781.681,7874953.313,RIM,Canada,,,,,,,,,,,,,,,,,,
2015,17.97442217,14.76427292,11.4720597,11.5975693,17974422.17,14764272.92,11472059.7,11597569.3,RIM,Canada,,,,,,,,,,,,,,,,,,
2016,20.80966652,14.24507661,11.17566471,12.66445471,20809666.52,14245076.61,11175664.71,12664454.71,RIM,Canada,,,,,,,,,,,,,,,,,,
2017,17.00221248,11.02353181,8.910471044,10.13747961,17002212.48,11023531.81,8910471.044,10137479.61,RIM,Canada,,,,,,,,,,,,,,,,,,
2018,17.70397013,11.95681997,9.456466195,10.7364092,17703970.13,11956819.97,9456466.195,10736409.2,RIM,Canada,,,,,,,,,,,,,,,,,,
2010,0.611667029,0.612366877,0.587872202,0.986785481,611667.0289,612366.8768,587872.2017,986785.4814,RIM,Africa,,,,,,,,,,,,,,,,,,
2011,1.816364465,2.085911162,2.274929385,1.9091959,1816364.465,2085911.162,2274929.385,1909195.9,RIM,Africa,,,,,,,,,,,,,,,,,,
2012,6.268429611,5.93334617,4.405162602,4.554088575,6268429.611,5933346.17,4405162.602,4554088.575,RIM,Africa,,,,,,,,,,,,,,,,,,
2013,6.982913114,5.469144964,4.564683107,4.938741646,6982913.114,5469144.964,4564683.107,4938741.646,RIM,Africa,,,,,,,,,,,,,,,,,,
2014,8.678957314,7.435704758,5.986660738,6.678868386,8678957.314,7435704.758,5986660.738,6678868.386,RIM,Africa,,,,,,,,,,,,,,,,,,
2015,16.59299574,13.6295629,10.59037313,10.70623667,16592995.74,13629562.9,10590373.13,10706236.67,RIM,Africa,,,,,,,,,,,,,,,,,,
2016,20.13566922,13.78369761,10.81369986,12.25426994,20135669.22,13783697.61,10813699.86,12254269.94,RIM,Africa,,,,,,,,,,,,,,,,,,
2017,16.14012847,10.46459217,8.458672512,9.623466558,16140128.47,10464592.17,8458672.512,9623466.558,RIM,Africa,,,,,,,,,,,,,,,,,,
2018,14.1631761,9.565455975,7.565172956,8.589127358,14163176.1,9565455.975,7565172.956,8589127.358,RIM,Africa,,,,,,,,,,,,,,,,,,
2010,0.573675288,0.574331667,0.5513584,0.925494458,573675.288,574331.667,551358.4003,925494.4577,RIM,MiddleEast,,,,,,,,,,,,,,,,,,
2011,1.727580866,1.983952164,2.163731207,1.815874715,1727580.866,1983952.164,2163731.207,1815874.715,RIM,MiddleEast,,,,,,,,,,,,,,,,,,
2012,4.770663243,4.515643988,3.352601626,3.465943517,4770663.243,4515643.988,3352601.626,3465943.517,RIM,MiddleEast,,,,,,,,,,,,,,,,,,
2013,8.128375202,6.366291772,5.313463932,5.748882231,8128375.202,6366291.772,5313463.932,5748882.231,RIM,MiddleEast,,,,,,,,,,,,,,,,,,
2014,8.973928413,7.688421521,6.190128946,6.905862606,8973928.413,7688421.521,6190128.946,6905862.606,RIM,MiddleEast,,,,,,,,,,,,,,,,,,
2015,11.48013006,9.429831557,7.327119403,7.40728145,11480130.06,9429831.557,7327119.403,7407281.45,RIM,MiddleEast,,,,,,,,,,,,,,,,,,
2016,13.86749437,9.492872916,7.447426769,8.4395516,13867494.37,9492872.916,7447426.769,8439551.6,RIM,MiddleEast,,,,,,,,,,,,,,,,,,
2017,14.87893148,9.646884176,7.797707993,8.871484502,14878931.48,9646884.176,7797707.993,8871484.502,RIM,MiddleEast,,,,,,,,,,,,,,,,,,
2018,15.36370283,10.37626179,8.206426887,9.317175708,15363702.83,10376261.79,8206426.887,9317175.708,RIM,MiddleEast,,,,,,,,,,,,,,,,,,
2010,0.060786785,0.060856336,0.058422082,0.098065638,60786.78548,60856.33558,58422.08216,98065.6379,RIM,Others,,,,,,,,,,,,,,,,,,
2011,0.107280182,0.123200456,0.134364465,0.112763098,107280.1822,123200.4556,134364.4647,112763.0979,RIM,Others,,,,,,,,,,,,,,,,,,
2012,0.562652974,0.532575952,0.395406504,0.408774069,562652.9739,532575.9521,395406.5041,408774.0693,RIM,Others,,,,,,,,,,,,,,,,,,
2013,0.440562342,0.345056465,0.287992625,0.311592533,440562.3416,345056.4646,287992.625,311592.5328,RIM,Others,,,,,,,,,,,,,,,,,,
2014,0.726082703,0.622072032,0.50084482,0.558755002,726082.7034,622072.032,500844.8199,558755.0022,RIM,Others,,,,,,,,,,,,,,,,,,
2015,0.968586354,0.795601279,0.61819403,0.624957356,968586.3539,795601.2793,618194.0299,624957.3561,RIM,Others,,,,,,,,,,,,,,,,,,
2016,1.179495268,0.807413249,0.633438486,0.717823344,1179495.268,807413.2492,633438.4858,717823.3438,RIM,Others,,,,,,,,,,,,,,,,,,
2017,1.468735726,0.952267537,0.769730832,0.875725938,1468735.726,952267.5367,769730.832,875725.938,RIM,Others,,,,,,,,,,,,,,,,,,
2018,1.185330189,0.800542453,0.633136792,0.718832547,1185330.189,800542.4528,633136.7925,718832.5472,RIM,Others,,,,,,,,,,,,,,,,,,
2010,0.003799174,0.003803521,0.00365138,0.006129102,3799.174093,3803.520974,3651.380135,6129.102369,HTC,UK,,,,,,,,,,,,,,,,,,
2011,1.039507973,1.193769932,1.30194533,1.092635535,1039507.973,1193769.932,1301945.33,1092635.535,HTC,UK,,,,,,,,,,,,,,,,,,
2012,3.84347454,3.638018828,2.70101626,2.79232991,3843474.54,3638018.828,2701016.26,2792329.91,HTC,UK,,,,,,,,,,,,,,,,,,
2013,8.271557963,6.478435123,5.407061535,5.850149804,8271557.963,6478435.123,5407061.535,5850149.804,HTC,UK,,,,,,,,,,,,,,,,,,
2014,4.05018008,3.469995554,2.793775011,3.116805247,4050180.08,3469995.554,2793775.011,3116805.247,HTC,UK,,,,,,,,,,,,,,,,,,
2015,6.017938166,4.943162047,3.840910448,3.88293177,6017938.166,4943162.047,3840910.448,3882931.77,HTC,UK,,,,,,,,,,,,,,,,,,
2016,4.549481749,3.114308247,2.443262731,2.768747183,4549481.749,3114308.247,2443262.731,2768747.183,HTC,UK,,,,,,,,,,,,,,,,,,
2017,3.017294046,1.956288744,1.581294861,1.799045677,3017294.046,1956288.744,1581294.861,1799045.677,HTC,UK,,,,,,,,,,,,,,,,,,
2018,1.534850629,1.036599843,0.819830975,0.930795991,1534850.629,1036599.843,819830.9748,930795.9906,HTC,UK,,,,,,,,,,,,,,,,,,
2010,3.521834384,3.525863943,3.384829385,5.681677896,3521834.384,3525863.943,3384829.385,5681677.896,HTC,US,,,,,,,,,,,,,,,,,,
2011,6.50709795,7.472744875,8.149899772,6.839665148,6507097.95,7472744.875,8149899.772,6839665.148,HTC,US,,,,,,,,,,,,,,,,,,
2012,13.17875909,12.47427899,9.261422764,9.574525032,13178759.09,12474278.99,9261422.764,9574525.032,HTC,US,,,,,,,,,,,,,,,,,,
2013,17.12686103,13.41407006,11.1957133,12.11315971,17126861.03,13414070.06,11195713.3,12113159.71,HTC,US,,,,,,,,,,,,,,,,,,
2014,20.16014006,17.27221876,13.90626945,15.51418186,20160140.06,17272218.76,13906269.45,15514181.86,HTC,US,,,,,,,,,,,,,,,,,,
2015,25.83426226,21.22038166,16.48855224,16.66894456,25834262.26,21220381.66,16488552.24,16668944.56,HTC,US,,,,,,,,,,,,,,,,,,
2016,30.71742677,21.0273479,16.49654799,18.6941708,30717426.77,21027347.9,16496547.99,18694170.8,HTC,US,,,,,,,,,,,,,,,,,,
2017,23.67538132,15.35013866,12.40772635,14.11632137,23675381.32,15350138.66,12407726.35,14116321.37,HTC,US,,,,,,,,,,,,,,,,,,
2018,19.63393082,13.2602673,10.48734277,11.90681604,19633930.82,13260267.3,10487342.77,11906816.04,HTC,US,,,,,,,,,,,,,,,,,,
2010,7.831997392,7.840958487,7.527320148,12.63514453,7831997.392,7840958.487,7527320.148,12635144.53,HTC,China,,,,,,,,,,,,,,,,,,
2011,16.73200911,19.21502278,20.95622323,17.5871549,16732009.11,19215022.78,20956223.23,17587154.9,HTC,China,,,,,,,,,,,,,,,,,,
2012,31.92065041,30.21430894,22.43235772,23.19073171,31920650.41,30214308.94,22432357.72,23190731.71,HTC,China,,,,,,,,,,,,,,,,,,
2013,38.79151417,30.38222171,25.35775063,27.43572252,38791514.17,30382221.71,25357750.63,27435722.52,HTC,China,,,,,,,,,,,,,,,,,,
2014,42.69139395,36.57589151,29.44811027,32.85304802,42691393.95,36575891.51,29448110.27,32853048.02,HTC,China,,,,,,,,,,,,,,,,,,
2015,56.67024094,46.54919616,36.16941791,36.56512793,56670240.94,46549196.16,36169417.91,36565127.93,HTC,China,,,,,,,,,,,,,,,,,,
2016,55.95862551,38.30599144,30.05213159,34.05559036,55958625.51,38305991.44,30052131.59,34055590.36,HTC,China,,,,,,,,,,,,,,,,,,
2017,68.42392741,44.36324633,35.8594168,40.7974062,68423927.41,44363246.33,35859416.8,40797406.2,HTC,China,,,,,,,,,,,,,,,,,,
2018,59.69201258,40.31449686,31.8841195,36.19966981,59692012.58,40314496.86,31884119.5,36199669.81,HTC,China,,,,,,,,,,,,,,,,,,
2010,2.123738318,2.126168224,2.041121495,3.426168224,2123738.318,2126168.224,2041121.495,3426168.224,HTC,Canada,,,,,,,,,,,,,,,,,,
2011,3.784400911,4.346002278,4.739822323,3.97781549,3784400.911,4346002.278,4739822.323,3977815.49,HTC,Canada,,,,,,,,,,,,,,,,,,
2012,9.683970903,9.166307231,6.805447154,7.035519897,9683970.903,9166307.231,6805447.154,7035519.897,HTC,Canada,,,,,,,,,,,,,,,,,,
2013,16.87353768,13.2156626,11.03011754,11.93399401,16873537.68,13215662.6,11030117.54,11933994.01,HTC,Canada,,,,,,,,,,,,,,,,,,
2014,15.13428635,12.96631392,10.43948422,11.64654958,15134286.35,12966313.92,10439484.22,11646549.58,HTC,Canada,,,,,,,,,,,,,,,,,,
2015,23.62715565,19.40745416,15.0798806,15.24486141,23627155.65,19407454.16,15079880.6,15244861.41,HTC,Canada,,,,,,,,,,,,,,,,,,
2016,26.97674178,18.46669446,14.48764308,16.41764534,26976741.78,18466694.46,14487643.08,16417645.34,HTC,Canada,,,,,,,,,,,,,,,,,,
2017,20.61019372,13.36279772,10.80133157,12.28871941,20610193.72,13362797.72,10801331.57,12288719.41,HTC,Canada,,,,,,,,,,,,,,,,,,
2018,25.13507862,16.97560535,13.42574686,15.24293632,25135078.62,16975605.35,13425746.86,15242936.32,HTC,Canada,,,,,,,,,,,,,,,,,,
2010,2.870276027,2.873560096,2.758617692,4.63053684,2870276.027,2873560.096,2758617.692,4630536.84,HTC,Africa,,,,,,,,,,,,,,,,,,
2011,5.408400911,6.211002278,6.773822323,5.68481549,5408400.911,6211002.278,6773822.323,5684815.49,HTC,Africa,,,,,,,,,,,,,,,,,,
2012,9.596799315,9.083795464,6.744186992,6.972188703,9596799.315,9083795.464,6744186.992,6972188.703,HTC,Africa,,,,,,,,,,,,,,,,,,
2013,17.00570638,13.31917953,11.11651533,12.02747177,17005706.38,13319179.53,11116515.33,12027471.77,HTC,Africa,,,,,,,,,,,,,,,,,,
2014,18.69662961,16.01835482,12.89675411,14.38794131,18696629.61,16018354.82,12896754.11,14387941.31,HTC,Africa,,,,,,,,,,,,,,,,,,
2015,23.05553092,18.93791898,14.71504478,14.87603412,23055530.92,18937918.98,14715044.78,14876034.12,HTC,Africa,,,,,,,,,,,,,,,,,,
2016,25.9994457,17.79769491,13.96279405,15.82287742,25999445.7,17797694.91,13962794.05,15822877.42,HTC,Africa,,,,,,,,,,,,,,,,,,
2017,22.27050367,14.43927406,11.67146207,13.27867047,22270503.67,14439274.06,11671462.07,13278670.47,HTC,Africa,,,,,,,,,,,,,,,,,,
2018,23.14433176,15.63110456,12.36240173,14.03566627,23144331.76,15631104.56,12362401.73,14035666.27,HTC,Africa,,,,,,,,,,,,,,,,,,
2010,1.605151054,1.606987611,1.542708107,2.589545751,1605151.054,1606987.611,1542708.107,2589545.751,HTC,MiddleEast,,,,,,,,,,,,,,,,,,
2011,2.097512528,2.408781321,2.627056948,2.204712984,2097512.528,2408781.321,2627056.948,2204712.984,HTC,MiddleEast,,,,,,,,,,,,,,,,,,
2012,6.696362858,6.338403937,4.705894309,4.864987163,6696362.858,6338403.937,4705894.309,4864987.163,HTC,MiddleEast,,,,,,,,,,,,,,,,,,
2013,8.128375202,6.366291772,5.313463932,5.748882231,8128375.202,6366291.772,5313463.932,5748882.231,HTC,MiddleEast,,,,,,,,,,,,,,,,,,
2014,9.098723877,7.795340151,6.27621165,7.001898622,9098723.877,7795340.151,6276211.65,7001898.622,HTC,MiddleEast,,,,,,,,,,,,,,,,,,
2015,15.57677399,12.79483369,9.941776119,10.05054371,15576773.99,12794833.69,9941776.119,10050543.71,HTC,MiddleEast,,,,,,,,,,,,,,,,,,
2016,14.74369085,10.09266562,7.917981073,8.972791798,14743690.85,10092665.62,7917981.073,8972791.798,HTC,MiddleEast,,,,,,,,,,,,,,,,,,
2017,12.21285685,7.918311582,6.400479201,7.28185155,12212856.85,7918311.582,6400479.201,7281851.55,HTC,MiddleEast,,,,,,,,,,,,,,,,,,
2018,12.97784591,8.764913522,6.932036164,7.870294811,12977845.91,8764913.522,6932036.164,7870294.811,HTC,MiddleEast,,,,,,,,,,,,,,,,,,
2010,1.039074114,1.040262986,0.998652467,1.676309498,1039074.114,1040262.986,998652.4669,1676309.498,HTC,Others,,,,,,,,,,,,,,,,,,
2011,1.424236902,1.635592255,1.7838041,1.497027335,1424236.902,1635592.255,1783804.1,1497027.335,HTC,Others,,,,,,,,,,,,,,,,,,
2012,4.326880616,4.095584082,3.040731707,3.143530167,4326880.616,4095584.082,3040731.707,3143530.167,HTC,Others,,,,,,,,,,,,,,,,,,
2013,3.943032957,3.088255358,2.577533994,2.788753169,3943032.957,3088255.358,2577533.994,2788753.169,HTC,Others,,,,,,,,,,,,,,,,,,
2014,3.619068475,3.100640285,2.496398399,2.785044464,3619068.475,3100640.285,2496398.399,2785044.464,HTC,Others,,,,,,,,,,,,,,,,,,
2015,8.002746269,6.573492537,5.107701493,5.16358209,8002746.269,6573492.537,5107701.493,5163582.09,HTC,Others,,,,,,,,,,,,,,,,,,
2016,9.553911672,6.540047319,5.130851735,5.814369085,9553911.672,6540047.319,5130851.735,5814369.085,HTC,Others,,,,,,,,,,,,,,,,,,
2017,9.435030587,6.11728385,4.944683931,5.625587276,9435030.587,6117283.85,4944683.931,5625587.276,HTC,Others,,,,,,,,,,,,,,,,,,
2018,9.847358491,6.650660377,5.25990566,5.971839623,9847358.491,6650660.377,5259905.66,5971839.623,HTC,Others,,,,,,,,,,,,,,,,,,
2010,1.242329928,1.243751358,1.194001304,2.004216475,1242329.928,1243751.358,1194001.304,2004216.475,Nokia,UK,,,,,,,,,,,,,,,,,,
2011,1.387243736,1.593109339,1.737471526,1.458143508,1387243.736,1593109.339,1737471.526,1458143.508,Nokia,UK,,,,,,,,,,,,,,,,,,
2012,2.829114249,2.6778819,1.988170732,2.055385109,2829114.249,2677881.9,1988170.732,2055385.109,Nokia,UK,,,,,,,,,,,,,,,,,,
2013,2.555261581,2.001327495,1.670357225,1.80723669,2555261.581,2001327.495,1670357.225,1807236.69,Nokia,UK,,,,,,,,,,,,,,,,,,
2014,6.137667852,5.258452646,4.233703868,4.723225878,6137667.852,5258452.646,4233703.868,4723225.878,Nokia,UK,,,,,,,,,,,,,,,,,,
2015,4.668268657,3.834537313,2.979492537,3.012089552,4668268.657,3834537.313,2979492.537,3012089.552,Nokia,UK,,,,,,,,,,,,,,,,,,
2016,3.218337089,2.203084723,1.728382154,1.958632267,3218337.089,2203084.723,1728382.154,1958632.267,Nokia,UK,,,,,,,,,,,,,,,,,,
2017,1.54855832,1.004021207,0.811564029,0.923319739,1548558.32,1004021.207,811564.0294,923319.739,Nokia,UK,,,,,,,,,,,,,,,,,,
2018,1.170133648,0.790279088,0.625019654,0.709616745,1170133.648,790279.0881,625019.6541,709616.7453,Nokia,UK,,,,,,,,,,,,,,,,,,
2010,5.742451641,5.749021952,5.519061074,9.264138231,5742451.641,5749021.952,5519061.074,9264138.231,Nokia,US,,,,,,,,,,,,,,,,,,
2011,11.88590433,13.64976082,14.88665604,12.49337358,11885904.33,13649760.82,14886656.04,12493373.58,Nokia,US,,,,,,,,,,,,,,,,,,
2012,23.10047069,21.86561831,16.23394309,16.78276637,23100470.69,21865618.31,16233943.09,16782766.37,Nokia,US,,,,,,,,,,,,,,,,,,
2013,31.09268726,24.35235999,20.32507951,21.99064301,31092687.26,24352359.99,20325079.51,21990643.01,Nokia,US,,,,,,,,,,,,,,,,,,
2014,28.62354157,24.52324589,19.74424189,22.02716985,28623541.57,24523245.89,19744241.89,22027169.85,Nokia,US,,,,,,,,,,,,,,,,,,
2015,44.18976759,36.29767804,28.20383582,28.51239872,44189767.59,36297678.04,28203835.82,28512398.72,Nokia,US,,,,,,,,,,,,,,,,,,
2016,41.34973411,28.30560162,22.20654349,25.16483551,41349734.11,28305601.62,22206543.49,25164835.51,Nokia,US,,,,,,,,,,,,,,,,,,
2017,35.40930261,22.95792822,18.55720636,21.11261011,35409302.61,22957928.22,18557206.36,21112610.11,Nokia,US,,,,,,,,,,,,,,,,,,
2018,37.36829403,25.23761399,19.96004324,22.66165684,37368294.03,25237613.99,19960043.24,22661656.84,Nokia,US,,,,,,,,,,,,,,,,,,
2010,3.271088894,3.274831558,3.143838296,5.27715714,3271088.894,3274831.558,3143838.296,5277157.14,Nokia,China,,,,,,,,,,,,,,,,,,
2011,7.51701139,8.632528474,9.414779043,7.901193622,7517011.39,8632528.474,9414779.043,7901193.622,Nokia,China,,,,,,,,,,,,,,,,,,
2012,14.69237484,13.90698331,10.32512195,10.67418485,14692374.84,13906983.31,10325121.95,10674184.85,Nokia,China,,,,,,,,,,,,,,,,,,
2013,18.40449182,14.41473381,12.03089191,13.01677806,18404491.82,14414733.81,12030891.91,13016778.06,Nokia,China,,,,,,,,,,,,,,,,,,
2014,16.69990218,14.30765674,11.51943086,12.85136505,16699902.18,14307656.74,11519430.86,12851365.05,Nokia,China,,,,,,,,,,,,,,,,,,
2015,30.50253092,25.05491898,19.46804478,19.68103412,30502530.92,25054918.98,19468044.78,19681034.12,Nokia,China,,,,,,,,,,,,,,,,,,
2016,28.59433529,19.57400406,15.35635872,17.40208878,28594335.29,19574004.06,15356358.72,17402088.78,Nokia,China,,,,,,,,,,,,,,,,,,
2017,28.56052406,18.5174633,14.96791803,17.02906199,28560524.06,18517463.3,14967918.03,17029061.99,Nokia,China,,,,,,,,,,,,,,,,,,
2018,25.18066824,17.00639544,13.45009827,15.27058373,25180668.24,17006395.44,13450098.27,15270583.73,Nokia,China,,,,,,,,,,,,,,,,,,
2010,2.123738318,2.126168224,2.041121495,3.426168224,2123738.318,2126168.224,2041121.495,3426168.224,Nokia,Canada,,,,,,,,,,,,,,,,,,
2011,4.816510251,5.531275626,6.032501139,5.06267426,4816510.251,5531275.626,6032501.139,5062674.26,Nokia,Canada,,,,,,,,,,,,,,,,,,
2012,12.22779632,11.57415062,8.593130081,8.883639281,12227796.32,11574150.62,8593130.081,8883639.281,Nokia,Canada,,,,,,,,,,,,,,,,,,
2013,19.62705232,15.3722655,12.83007145,13.88144734,19627052.32,15372265.5,12830071.45,13881447.34,Nokia,Canada,,,,,,,,,,,,,,,,,,
2014,18.74200978,16.05723433,12.92805691,14.42286349,18742009.78,16057234.33,12928056.91,14422863.49,Nokia,Canada,,,,,,,,,,,,,,,,,,
2015,22.05518763,18.11623241,14.07658209,14.23058635,22055187.63,18116232.41,14076582.09,14230586.35,Nokia,Canada,,,,,,,,,,,,,,,,,,
2016,25.98259576,17.78616043,13.95374493,15.8126228,25982595.76,17786160.43,13953744.93,15812622.8,Nokia,Canada,,,,,,,,,,,,,,,,,,
2017,28.04965946,18.1862398,14.70018556,16.72446166,28049659.46,18186239.8,14700185.56,16724461.66,Nokia,Canada,,,,,,,,,,,,,,,,,,
2018,21.77664308,14.70740173,11.63185928,13.2062441,21776643.08,14707401.73,11631859.28,13206244.1,Nokia,Canada,,,,,,,,,,,,,,,,,,
2010,3.840965008,3.845359704,3.691545316,6.196522495,3840965.008,3845359.704,3691545.316,6196522.495,Nokia,Africa,,,,,,,,,,,,,,,,,,
2011,6.751252847,7.753132118,8.455694761,7.096298405,6751252.847,7753132.118,8455694.761,7096298.405,Nokia,Africa,,,,,,,,,,,,,,,,,,
2012,12.90139495,12.21174155,9.066504065,9.373016688,12901394.95,12211741.55,9066504.065,9373016.688,Nokia,Africa,,,,,,,,,,,,,,,,,,
2013,20.65135976,16.17452178,13.4996543,14.60589998,20651359.76,16174521.78,13499654.3,14605899.98,Nokia,Africa,,,,,,,,,,,,,,,,,,
2014,25.15195865,21.54896398,17.34957759,19.3556225,25151958.65,21548963.98,17349577.59,19355622.5,Nokia,Africa,,,,,,,,,,,,,,,,,,
2015,34.85323028,28.62860341,22.24485075,22.48821962,34853230.28,28628603.41,22244850.75,22488219.62,Nokia,Africa,,,,,,,,,,,,,,,,,,
2016,39.46254169,27.01374042,21.19304191,24.01631816,39462541.69,27013740.42,21193041.91,24016318.16,Nokia,Africa,,,,,,,,,,,,,,,,,,
2017,40.26251631,26.10455139,21.10066476,24.00631321,40262516.31,26104551.39,21100664.76,24006313.21,Nokia,Africa,,,,,,,,,,,,,,,,,,
2018,40.60515723,27.42371069,21.68899371,24.62462264,40605157.23,27423710.69,21688993.71,24624622.64,Nokia,Africa,,,,,,,,,,,,,,,,,,
2010,2.547346229,2.550260813,2.44825038,4.109563138,2547346.229,2550260.813,2448250.38,4109563.138,Nokia,MiddleEast,,,,,,,,,,,,,,,,,,
2011,3.784400911,4.346002278,4.739822323,3.97781549,3784400.911,4346002.278,4739822.323,3977815.49,Nokia,MiddleEast,,,,,,,,,,,,,,,,,,
2012,9.057920411,8.573722721,6.365487805,6.580686778,9057920.411,8573722.721,6365487.805,6580686.778,Nokia,MiddleEast,,,,,,,,,,,,,,,,,,
2013,10.5184259,8.238223093,6.875823923,7.439271722,10518425.9,8238223.093,6875823.923,7439271.722,Nokia,MiddleEast,,,,,,,,,,,,,,,,,,
2014,11.58328813,9.923992886,7.990040018,8.913888395,11583288.13,9923992.886,7990040.018,8913888.395,Nokia,MiddleEast,,,,,,,,,,,,,,,,,,
2015,15.2115693,12.49485288,9.708686567,9.814904051,15211569.3,12494852.88,9708686.567,9814904.051,Nokia,MiddleEast,,,,,,,,,,,,,,,,,,
2016,18.92247409,12.95321541,10.16216314,11.51593736,18922474.09,12953215.41,10162163.14,11515937.36,Nokia,MiddleEast,,,,,,,,,,,,,,,,,,
2017,15.2301509,9.874600326,7.981774062,9.080897227,15230150.9,9874600.326,7981774.062,9080897.227,Nokia,MiddleEast,,,,,,,,,,,,,,,,,,
2018,16.5034434,11.14601415,8.815212264,10.00836085,16503443.4,11146014.15,8815212.264,10008360.85,Nokia,MiddleEast,,,,,,,,,,,,,,,,,,
2010,0.227950446,0.228211258,0.219082808,0.367746142,227950.4456,228211.2584,219082.8081,367746.1421,Nokia,Others,,,,,,,,,,,,,,,,,,
2011,0.850842825,0.977107062,1.065649203,0.894328018,850842.8246,977107.0615,1065649.203,894328.0182,Nokia,Others,,,,,,,,,,,,,,,,,,
2012,4.437826273,4.200599059,3.118699187,3.224133504,4437826.273,4200599.059,3118699.187,3224133.504,Nokia,Others,,,,,,,,,,,,,,,,,,
2013,7.291306753,5.71068449,4.766277944,5.156856419,7291306.753,5710684.49,4766277.944,5156856.419,Nokia,Others,,,,,,,,,,,,,,,,,,
2014,6.512054246,5.579208537,4.491951979,5.011333926,6512054.246,5579208.537,4491951.979,5011333.926,Nokia,Others,,,,,,,,,,,,,,,,,,
2015,7.304093817,5.999616205,4.661791045,4.712793177,7304093.817,5999616.205,4661791.045,4712793.177,Nokia,Others,,,,,,,,,,,,,,,,,,
2016,10.96930599,7.508943218,5.890977918,6.675757098,10969305.99,7508943.218,5890977.918,6675757.098,Nokia,Others,,,,,,,,,,,,,,,,,,
2017,10.58447594,6.862536705,5.547081974,6.31093801,10584475.94,6862536.705,5547081.974,6310938.01,Nokia,Others,,,,,,,,,,,,,,,,,,
